,prec,rec,acc,f1,TP,TN,FP,FN
0,0.282999999999717,0.9999999999964665,0.282999999999717,0.441153546031149,283,0,717,0
1,0.2835671342682529,0.9999999999964665,0.284999999999715,0.44184231034984983,283,2,715,0
2,0.3447432762831971,0.9964664310918853,0.462999999999537,0.5122615799986008,282,181,536,1
3,0.9999999999959515,0.872791519431545,0.963999999999036,0.9320754711969028,247,717,0,36
4,0.9999999999959515,0.872791519431545,0.963999999999036,0.9320754711969028,247,717,0,36
5,0.9999999999958848,0.8586572438132203,0.9599999999990401,0.9239543721229525,243,717,0,40
6,0.9999999999955157,0.7879858657215972,0.93999999999906,0.881422924404732,223,717,0,60
7,0.999999999995122,0.7243816254391365,0.921999999999078,0.8401639339355601,205,717,0,78
8,0.9999999999950739,0.7173144876299742,0.91999999999908,0.8353909460121679,203,717,0,80
9,0.9999999999948719,0.6890459363933249,0.911999999999088,0.8158995811034907,195,717,0,88
10,0.9999999999946809,0.6643109540612568,0.904999999999095,0.7983014857165267,188,717,0,95
11,0.9999999999938651,0.5759717314467281,0.87999999999912,0.730941703568793,163,717,0,120
12,0.9999999999931508,0.5159010600688484,0.862999999999137,0.6806526802004987,146,717,0,137
13,0.9999999999924812,0.46996466430929346,0.84999999999915,0.6394230764850106,133,717,0,150
14,0.9999999999919355,0.43816254416806305,0.840999999999159,0.609336608909924,124,717,0,159
15,0.9999999999907407,0.3816254416947646,0.8249999999991751,0.5524296671165154,108,717,0,175
16,0.9999999999897958,0.34628975264895306,0.814999999999185,0.5144356951532436,98,717,0,185
17,0.9999999999883721,0.3038869257939792,0.802999999999197,0.46612466088659743,86,717,0,197
18,0.9999999999859155,0.2508833922252619,0.787999999999212,0.40112994317988127,71,717,0,212
19,0.9999999999833334,0.2120141342748692,0.776999999999223,0.3498542271145526,60,717,0,223
20,0.9999999999787235,0.1660777385153142,0.763999999999236,0.2848484846024793,47,717,0,236
21,0.9999999999687501,0.11307420494659691,0.748999999999251,0.2031746029907785,32,717,0,251
22,0.9999999999230769,0.045936395759555,0.72999999999927,0.08783783775326424,13,717,0,270
23,0.0,0.0,0.716999999999283,0.0,0,717,0,283
