i,0,1,2,3,4,5,6,7,8,9,10
0,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
1,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
2,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
3,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN
4,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN
5,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
6,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
7,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN
8,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
9,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN
10,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
11,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN
12,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN
13,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
14,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
15,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
16,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
17,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
18,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
19,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
20,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
21,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
22,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN
23,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
24,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
25,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
26,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN
27,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
28,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN
29,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
30,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
31,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
32,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
33,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
34,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN
35,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
36,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
37,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
38,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN
39,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN
40,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
41,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
42,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
43,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
44,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
45,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
46,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
47,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
48,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN
49,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
50,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
51,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
