,i,g,status
0,0,0,FP
1,0,1,FP
2,0,2,FP
3,0,3,FP
4,0,4,FP
5,0,5,FP
6,0,6,TN
7,0,7,TN
8,0,8,TN
9,0,9,TN
10,0,10,TN
11,1,0,FP
12,1,1,FP
13,1,2,FP
14,1,3,FP
15,1,4,FP
16,1,5,TN
17,1,6,TN
18,1,7,TN
19,1,8,TN
20,1,9,TN
21,1,10,TN
22,2,0,FP
23,2,1,FP
24,2,2,FP
25,2,3,FP
26,2,4,FP
27,2,5,FP
28,2,6,TN
29,2,7,TN
30,2,8,TN
31,2,9,TN
32,2,10,TN
33,3,0,TP
34,3,1,TP
35,3,2,TP
36,3,3,TP
37,3,4,TP
38,3,5,TP
39,3,6,TP
40,3,7,FN
41,3,8,FN
42,3,9,FN
43,3,10,FN
44,4,0,TP
45,4,1,TP
46,4,2,TP
47,4,3,TP
48,4,4,TP
49,4,5,TP
50,4,6,TP
51,4,7,FN
52,4,8,FN
53,4,9,FN
54,4,10,FN
55,5,0,FP
56,5,1,FP
57,5,2,FP
58,5,3,FP
59,5,4,TN
60,5,5,TN
61,5,6,TN
62,5,7,TN
63,5,8,TN
64,5,9,TN
65,5,10,TN
66,6,0,FP
67,6,1,FP
68,6,2,FP
69,6,3,FP
70,6,4,FP
71,6,5,FP
72,6,6,FP
73,6,7,FP
74,6,8,TN
75,6,9,TN
76,6,10,TN
77,7,0,TP
78,7,1,TP
79,7,2,TP
80,7,3,TP
81,7,4,TP
82,7,5,TP
83,7,6,TP
84,7,7,FN
85,7,8,FN
86,7,9,FN
87,7,10,FN
88,8,0,FP
89,8,1,FP
90,8,2,FP
91,8,3,FP
92,8,4,TN
93,8,5,TN
94,8,6,TN
95,8,7,TN
96,8,8,TN
97,8,9,TN
98,8,10,TN
99,9,0,TP
100,9,1,TP
101,9,2,TP
102,9,3,TP
103,9,4,TP
104,9,5,TP
105,9,6,FN
106,9,7,FN
107,9,8,FN
108,9,9,FN
109,9,10,FN
