,text,cls
0,0404eb74d7bcf0a16319da46e4e0eadc201837f0,1
1,2b9685484e0601ef482a046880fd96a7838416da,2
2,31f4c9f96bc929514ea10383a17ed8d514f28987,1
3,8767b63e7c38815d76f00c3ed75c063991300a0f,2
4,1bb141175d58caf6d83e171ae624a55c7231f7f0,1
5,d7f67e2f0d6fb1e84f81125df3b763531c83ef62,2
6,0c146b45e9aaaade46357dd25de4eb9b610eb0d1,3
7,35f209774385e79732c8d57d98eefae6f5cf1fd0,4
8,2c38e4cf148ed180da2c50fc2b5d0e7cbc237135,5
9,77c91b1aad9433c6efd1b9367e35cc10e63d4fa9,6
10,2b9685484e0601ef482a046880fd96a7838416da,1
11,0404eb74d7bcf0a16319da46e4e0eadc201837f0,2
12,6e9d50b72cf5639a164d0120e06f889b5056bef6,1
13,2b9685484e0601ef482a046880fd96a7838416da,2
14,0404eb74d7bcf0a16319da46e4e0eadc201837f0,3
15,6e9d50b72cf5639a164d0120e06f889b5056bef6,1
16,2b9685484e0601ef482a046880fd96a7838416da,2
17,0404eb74d7bcf0a16319da46e4e0eadc201837f0,1
18,31f4c9f96bc929514ea10383a17ed8d514f28987,2
19,8767b63e7c38815d76f00c3ed75c063991300a0f,3
20,1bb141175d58caf6d83e171ae624a55c7231f7f0,1
21,d7f67e2f0d6fb1e84f81125df3b763531c83ef62,2
22,0c146b45e9aaaade46357dd25de4eb9b610eb0d1,3
23,35f209774385e79732c8d57d98eefae6f5cf1fd0,4
24,2c38e4cf148ed180da2c50fc2b5d0e7cbc237135,5
25,77c91b1aad9433c6efd1b9367e35cc10e63d4fa9,6
26,f1b299be0a77904608177cd35648f885e4cf7bec,1
27,70897e1c39fb80f03aabd9f8005f1831ca6e428c,2
28,202f46dd234fb569bac92876b558af9634d6ae1e,3
29,6e9d50b72cf5639a164d0120e06f889b5056bef6,1
30,0404eb74d7bcf0a16319da46e4e0eadc201837f0,2
31,2b9685484e0601ef482a046880fd96a7838416da,1
32,f1b299be0a77904608177cd35648f885e4cf7bec,2
33,563ac0c674eb31fe2a5f9fc733717da64f5e7655,3
34,8422cb3ad500740aca94a6d8a8f2c31893e6313e,4
35,202f46dd234fb569bac92876b558af9634d6ae1e,5
36,32d9cc68795b0a82938893f6563e87deb4806d78,6
37,31f4c9f96bc929514ea10383a17ed8d514f28987,1
38,8767b63e7c38815d76f00c3ed75c063991300a0f,2
39,1bb141175d58caf6d83e171ae624a55c7231f7f0,3
40,d7f67e2f0d6fb1e84f81125df3b763531c83ef62,1
41,0c146b45e9aaaade46357dd25de4eb9b610eb0d1,2
42,35f209774385e79732c8d57d98eefae6f5cf1fd0,1
43,2c38e4cf148ed180da2c50fc2b5d0e7cbc237135,2
44,77c91b1aad9433c6efd1b9367e35cc10e63d4fa9,3
45,6e9d50b72cf5639a164d0120e06f889b5056bef6,1
46,2b9685484e0601ef482a046880fd96a7838416da,2
47,0404eb74d7bcf0a16319da46e4e0eadc201837f0,3
48,6e9d50b72cf5639a164d0120e06f889b5056bef6,4
49,2b9685484e0601ef482a046880fd96a7838416da,5
50,0404eb74d7bcf0a16319da46e4e0eadc201837f0,6
51,31f4c9f96bc929514ea10383a17ed8d514f28987,1
52,8767b63e7c38815d76f00c3ed75c063991300a0f,2
53,1bb141175d58caf6d83e171ae624a55c7231f7f0,3
54,d7f67e2f0d6fb1e84f81125df3b763531c83ef62,4
55,0c146b45e9aaaade46357dd25de4eb9b610eb0d1,1
56,35f209774385e79732c8d57d98eefae6f5cf1fd0,2
57,2c38e4cf148ed180da2c50fc2b5d0e7cbc237135,1
58,77c91b1aad9433c6efd1b9367e35cc10e63d4fa9,2
59,6e9d50b72cf5639a164d0120e06f889b5056bef6,1
60,2b9685484e0601ef482a046880fd96a7838416da,2
61,0404eb74d7bcf0a16319da46e4e0eadc201837f0,3
62,6e9d50b72cf5639a164d0120e06f889b5056bef6,4
63,8767b63e7c38815d76f00c3ed75c063991300a0f,5
64,31f4c9f96bc929514ea10383a17ed8d514f28987,6
65,2b9685484e0601ef482a046880fd96a7838416da,1
66,0404eb74d7bcf0a16319da46e4e0eadc201837f0,2
67,1bb141175d58caf6d83e171ae624a55c7231f7f0,3
68,d7f67e2f0d6fb1e84f81125df3b763531c83ef62,1
69,0c146b45e9aaaade46357dd25de4eb9b610eb0d1,2
70,35f209774385e79732c8d57d98eefae6f5cf1fd0,3
71,2c38e4cf148ed180da2c50fc2b5d0e7cbc237135,4
72,77c91b1aad9433c6efd1b9367e35cc10e63d4fa9,5
73,2b9685484e0601ef482a046880fd96a7838416da,6
74,31f4c9f96bc929514ea10383a17ed8d514f28987,1
75,8767b63e7c38815d76f00c3ed75c063991300a0f,2
76,0404eb74d7bcf0a16319da46e4e0eadc201837f0,3
77,1bb141175d58caf6d83e171ae624a55c7231f7f0,1
78,d7f67e2f0d6fb1e84f81125df3b763531c83ef62,2
79,0c146b45e9aaaade46357dd25de4eb9b610eb0d1,1
80,35f209774385e79732c8d57d98eefae6f5cf1fd0,2
81,2c38e4cf148ed180da2c50fc2b5d0e7cbc237135,1
82,77c91b1aad9433c6efd1b9367e35cc10e63d4fa9,2
83,6e9d50b72cf5639a164d0120e06f889b5056bef6,3
84,0404eb74d7bcf0a16319da46e4e0eadc201837f0,1
85,2b9685484e0601ef482a046880fd96a7838416da,2
86,0404eb74d7bcf0a16319da46e4e0eadc201837f0,3
87,2b9685484e0601ef482a046880fd96a7838416da,4
88,6e9d50b72cf5639a164d0120e06f889b5056bef6,5
