,unknown,#occ,length
0,"('0404eb74d7bcf0a16319da46e4e0eadc201837f0',)",46,1
1,"('0404eb74d7bcf0a16319da46e4e0eadc201837f0', '31f4c9f96bc929514ea10383a17ed8d514f28987')",2,2
2,"('0404eb74d7bcf0a16319da46e4e0eadc201837f0', 'f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78')",2,6
3,"('0404eb74d7bcf0a16319da46e4e0eadc201837f0', 'f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78', '2b9685484e0601ef482a046880fd96a7838416da', 'f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78')",1,12
4,"('0404eb74d7bcf0a16319da46e4e0eadc201837f0', 'f1b299be0a77904608177cd35648f885e4cf7bec', '70897e1c39fb80f03aabd9f8005f1831ca6e428c', '202f46dd234fb569bac92876b558af9634d6ae1e')",1,4
5,"('0404eb74d7bcf0a16319da46e4e0eadc201837f0', 'f1b299be0a77904608177cd35648f885e4cf7bec', '70897e1c39fb80f03aabd9f8005f1831ca6e428c', '202f46dd234fb569bac92876b558af9634d6ae1e', '2b9685484e0601ef482a046880fd96a7838416da', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '32d9cc68795b0a82938893f6563e87deb4806d78')",1,8
6,"('1bb141175d58caf6d83e171ae624a55c7231f7f0',)",5,1
7,"('1bb141175d58caf6d83e171ae624a55c7231f7f0', 'f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78')",1,6
8,"('1bb141175d58caf6d83e171ae624a55c7231f7f0', 'f1b299be0a77904608177cd35648f885e4cf7bec', '70897e1c39fb80f03aabd9f8005f1831ca6e428c', '202f46dd234fb569bac92876b558af9634d6ae1e')",1,4
9,"('202f46dd234fb569bac92876b558af9634d6ae1e',)",1,1
