,workflow,#occ,length
0,"('0404eb74d7bcf0a16319da46e4e0eadc201837f0', '2b9685484e0601ef482a046880fd96a7838416da')",170,2
1,"('0404eb74d7bcf0a16319da46e4e0eadc201837f0', '31f4c9f96bc929514ea10383a17ed8d514f28987', '8767b63e7c38815d76f00c3ed75c063991300a0f')",277,3
2,"('1bb141175d58caf6d83e171ae624a55c7231f7f0', 'd7f67e2f0d6fb1e84f81125df3b763531c83ef62', '0c146b45e9aaaade46357dd25de4eb9b610eb0d1', '35f209774385e79732c8d57d98eefae6f5cf1fd0', '2c38e4cf148ed180da2c50fc2b5d0e7cbc237135', '77c91b1aad9433c6efd1b9367e35cc10e63d4fa9')",822,6
3,"('1bb141175d58caf6d83e171ae624a55c7231f7f0', 'd7f67e2f0d6fb1e84f81125df3b763531c83ef62', '0c146b45e9aaaade46357dd25de4eb9b610eb0d1', '35f209774385e79732c8d57d98eefae6f5cf1fd0', '2c38e4cf148ed180da2c50fc2b5d0e7cbc237135', '77c91b1aad9433c6efd1b9367e35cc10e63d4fa9', '6e9d50b72cf5639a164d0120e06f889b5056bef6')",37,7
4,"('2b9685484e0601ef482a046880fd96a7838416da', '0404eb74d7bcf0a16319da46e4e0eadc201837f0')",299,2
5,"('2b9685484e0601ef482a046880fd96a7838416da', '0404eb74d7bcf0a16319da46e4e0eadc201837f0', '6e9d50b72cf5639a164d0120e06f889b5056bef6')",36,3
6,"('2b9685484e0601ef482a046880fd96a7838416da', '31f4c9f96bc929514ea10383a17ed8d514f28987', '8767b63e7c38815d76f00c3ed75c063991300a0f')",42,3
7,"('31f4c9f96bc929514ea10383a17ed8d514f28987', '8767b63e7c38815d76f00c3ed75c063991300a0f')",280,2
8,"('31f4c9f96bc929514ea10383a17ed8d514f28987', '8767b63e7c38815d76f00c3ed75c063991300a0f', '0404eb74d7bcf0a16319da46e4e0eadc201837f0')",34,3
9,"('31f4c9f96bc929514ea10383a17ed8d514f28987', '8767b63e7c38815d76f00c3ed75c063991300a0f', '6e9d50b72cf5639a164d0120e06f889b5056bef6')",10,3
10,"('6e9d50b72cf5639a164d0120e06f889b5056bef6', '0404eb74d7bcf0a16319da46e4e0eadc201837f0', '2b9685484e0601ef482a046880fd96a7838416da')",407,3
11,"('6e9d50b72cf5639a164d0120e06f889b5056bef6', '2b9685484e0601ef482a046880fd96a7838416da')",449,2
12,"('6e9d50b72cf5639a164d0120e06f889b5056bef6', '2b9685484e0601ef482a046880fd96a7838416da', '0404eb74d7bcf0a16319da46e4e0eadc201837f0')",699,3
13,"('6e9d50b72cf5639a164d0120e06f889b5056bef6', '2b9685484e0601ef482a046880fd96a7838416da', '0404eb74d7bcf0a16319da46e4e0eadc201837f0', '6e9d50b72cf5639a164d0120e06f889b5056bef6')",63,4
14,"('6e9d50b72cf5639a164d0120e06f889b5056bef6', '31f4c9f96bc929514ea10383a17ed8d514f28987', '8767b63e7c38815d76f00c3ed75c063991300a0f')",72,3
15,"('8767b63e7c38815d76f00c3ed75c063991300a0f', '2b9685484e0601ef482a046880fd96a7838416da', '0404eb74d7bcf0a16319da46e4e0eadc201837f0')",43,3
16,"('8767b63e7c38815d76f00c3ed75c063991300a0f', '31f4c9f96bc929514ea10383a17ed8d514f28987')",98,2
17,"('8767b63e7c38815d76f00c3ed75c063991300a0f', '31f4c9f96bc929514ea10383a17ed8d514f28987', '0404eb74d7bcf0a16319da46e4e0eadc201837f0')",17,3
18,"('d7f67e2f0d6fb1e84f81125df3b763531c83ef62', '0c146b45e9aaaade46357dd25de4eb9b610eb0d1', '35f209774385e79732c8d57d98eefae6f5cf1fd0', '2c38e4cf148ed180da2c50fc2b5d0e7cbc237135', '77c91b1aad9433c6efd1b9367e35cc10e63d4fa9')",10,5
