,text,cls
0,7a42b98d8c04ce24a5d2bf67193a4ddbbff82de3,1
1,09870a45a787281f36754fc70f7cd3ab61f1b0a4,2
2,a7097c0418dace8bddaaf881218d7f647f0f3cbd,3
3,abd5b7116ab7332826607043cc99740a7cc7116f,4
4,91fe1bd60855b4277a70e9cce564efbce00cf9db,5
5,fa7b33dd2e5ada49318f42e590958b05fe2e3d1d,6
6,b7ded45f3c16b05f6f5cdace9182bba4a3d6bcc8,7
7,fa21a47c6e1f0d9f1516d2461928d8c791597930,8
8,7a42b98d8c04ce24a5d2bf67193a4ddbbff82de3,1
9,09870a45a787281f36754fc70f7cd3ab61f1b0a4,2
10,a7097c0418dace8bddaaf881218d7f647f0f3cbd,3
11,abd5b7116ab7332826607043cc99740a7cc7116f,4
12,91fe1bd60855b4277a70e9cce564efbce00cf9db,5
13,c040e113046991d1149bcae6238efe5056b4d342,6
14,8c4f8c4f67fff4fecdd70ea99d5f4f8c1f988ae5,7
15,b3ba443ec5b36327ca67105e50ff68fefa5f46f1,8
16,c0b3273ffb8fa3f938b786df4a9f4380363cb08c,9
17,01c2a96a19de585b5c77122ce87c91fe06bffc2e,10
18,9522387bfe9977f590e41c4528c5e04dfcb1741e,11
19,abd5b7116ab7332826607043cc99740a7cc7116f,12
20,7a42b98d8c04ce24a5d2bf67193a4ddbbff82de3,13
21,09870a45a787281f36754fc70f7cd3ab61f1b0a4,14
22,a7097c0418dace8bddaaf881218d7f647f0f3cbd,15
23,abd5b7116ab7332826607043cc99740a7cc7116f,16
24,91fe1bd60855b4277a70e9cce564efbce00cf9db,17
25,7b2c85e1fcc5152dc8684e703417fe6de95ed280,18
26,8432d08cd52c004777fa48eb8d03d64c5ff0c2aa,19
27,7a42b98d8c04ce24a5d2bf67193a4ddbbff82de3,1
28,09870a45a787281f36754fc70f7cd3ab61f1b0a4,2
29,a7097c0418dace8bddaaf881218d7f647f0f3cbd,3
30,abd5b7116ab7332826607043cc99740a7cc7116f,4
31,91fe1bd60855b4277a70e9cce564efbce00cf9db,5
32,7b2c85e1fcc5152dc8684e703417fe6de95ed280,6
33,8432d08cd52c004777fa48eb8d03d64c5ff0c2aa,7
34,7a42b98d8c04ce24a5d2bf67193a4ddbbff82de3,1
35,09870a45a787281f36754fc70f7cd3ab61f1b0a4,2
36,a7097c0418dace8bddaaf881218d7f647f0f3cbd,3
37,abd5b7116ab7332826607043cc99740a7cc7116f,4
38,91fe1bd60855b4277a70e9cce564efbce00cf9db,5
39,7b2c85e1fcc5152dc8684e703417fe6de95ed280,6
40,8432d08cd52c004777fa48eb8d03d64c5ff0c2aa,7
