,text,cls
0,2c9bfc22c7a5701bed45949d55208fe2228e0dd3,1
1,5218d8668c0e42db7d47ad12f048f100edb0141d,2
2,f23f1b4ca52733e332b1af61349998e457ec12a2,3
3,84c8b239d504e7cfdd80f15c41a570bfdacfbe8b,4
4,7b30443838ece5e7ee6b3c0060dcf43d9cbc3b08,1
5,7686a20dda1833f105121170f5cb1aa7f9c46fd7,2
6,86fc94b906e47e847e63940dd68f8aa8690bad9c,3
7,ef9f99a06c438dac739fb40bf57172f2e2d7bf88,4
8,b084bc633285e4a1f622a17f25f1eaee6a665f58,5
9,098f01bdfa5d1d55ec61640e6cb1b19ba49e0af4,6
10,f1f19dbcc6921179177669dfbd7e909a700fc435,1
11,84999ea17bfaf3533def73900f02ba85471b4c47,2
12,9da7939eb44967af092c2bd3eec2c3188691d2d8,3
13,35f56238ece0abe440b004ec7136027242e774fd,4
14,d9190728b3c213e38e307956bd231808020703f3,1
15,36c071f7122a7e4509b035cd35f247e481b6c372,2
16,b0128976be12239515a2cd72aaa3149a0af0200f,3
17,02409a0ab216846173b48ec37f761e65a92ebdb8,4
18,a2d7aff4a1e8381d7c8e582a0439ede6d13c7856,5
19,c12f4ad4120036667c85ed44c2273eb5ef9aa6d5,6
20,84c8b239d504e7cfdd80f15c41a570bfdacfbe8b,1
21,d9190728b3c213e38e307956bd231808020703f3,2
22,35f56238ece0abe440b004ec7136027242e774fd,3
23,7686a20dda1833f105121170f5cb1aa7f9c46fd7,4
24,7b30443838ece5e7ee6b3c0060dcf43d9cbc3b08,5
25,86fc94b906e47e847e63940dd68f8aa8690bad9c,6
26,ef9f99a06c438dac739fb40bf57172f2e2d7bf88,7
27,b084bc633285e4a1f622a17f25f1eaee6a665f58,8
28,098f01bdfa5d1d55ec61640e6cb1b19ba49e0af4,1
29,2c9bfc22c7a5701bed45949d55208fe2228e0dd3,2
30,5218d8668c0e42db7d47ad12f048f100edb0141d,3
31,f23f1b4ca52733e332b1af61349998e457ec12a2,1
32,f1f19dbcc6921179177669dfbd7e909a700fc435,2
33,84999ea17bfaf3533def73900f02ba85471b4c47,3
34,9da7939eb44967af092c2bd3eec2c3188691d2d8,1
35,36c071f7122a7e4509b035cd35f247e481b6c372,2
36,b0128976be12239515a2cd72aaa3149a0af0200f,3
37,02409a0ab216846173b48ec37f761e65a92ebdb8,4
38,a2d7aff4a1e8381d7c8e582a0439ede6d13c7856,5
39,c12f4ad4120036667c85ed44c2273eb5ef9aa6d5,1
40,6e9d50b72cf5639a164d0120e06f889b5056bef6,2
41,84c8b239d504e7cfdd80f15c41a570bfdacfbe8b,1
42,d9190728b3c213e38e307956bd231808020703f3,2
43,35f56238ece0abe440b004ec7136027242e774fd,3
44,7686a20dda1833f105121170f5cb1aa7f9c46fd7,4
45,7b30443838ece5e7ee6b3c0060dcf43d9cbc3b08,5
46,86fc94b906e47e847e63940dd68f8aa8690bad9c,6
47,ef9f99a06c438dac739fb40bf57172f2e2d7bf88,7
48,b084bc633285e4a1f622a17f25f1eaee6a665f58,8
49,098f01bdfa5d1d55ec61640e6cb1b19ba49e0af4,1
50,5218d8668c0e42db7d47ad12f048f100edb0141d,2
51,f23f1b4ca52733e332b1af61349998e457ec12a2,1
52,f1f19dbcc6921179177669dfbd7e909a700fc435,2
53,84999ea17bfaf3533def73900f02ba85471b4c47,3
54,9da7939eb44967af092c2bd3eec2c3188691d2d8,1
55,36c071f7122a7e4509b035cd35f247e481b6c372,2
56,b0128976be12239515a2cd72aaa3149a0af0200f,3
