,unknown,#occ,length
0,"('098f01bdfa5d1d55ec61640e6cb1b19ba49e0af4',)",54,1
1,"('098f01bdfa5d1d55ec61640e6cb1b19ba49e0af4', '84c8b239d504e7cfdd80f15c41a570bfdacfbe8b')",4,2
2,"('2c9bfc22c7a5701bed45949d55208fe2228e0dd3',)",23,1
3,"('2c9bfc22c7a5701bed45949d55208fe2228e0dd3', '5218d8668c0e42db7d47ad12f048f100edb0141d')",1,2
4,"('2c9bfc22c7a5701bed45949d55208fe2228e0dd3', '7686a20dda1833f105121170f5cb1aa7f9c46fd7', '35f56238ece0abe440b004ec7136027242e774fd', '84c8b239d504e7cfdd80f15c41a570bfdacfbe8b')",1,4
5,"('2c9bfc22c7a5701bed45949d55208fe2228e0dd3', 'd9190728b3c213e38e307956bd231808020703f3', '35f56238ece0abe440b004ec7136027242e774fd', '84c8b239d504e7cfdd80f15c41a570bfdacfbe8b', '7686a20dda1833f105121170f5cb1aa7f9c46fd7')",2,5
6,"('2c9bfc22c7a5701bed45949d55208fe2228e0dd3', 'f23f1b4ca52733e332b1af61349998e457ec12a2')",6,2
7,"('2c9bfc22c7a5701bed45949d55208fe2228e0dd3', 'f23f1b4ca52733e332b1af61349998e457ec12a2', '84c8b239d504e7cfdd80f15c41a570bfdacfbe8b')",7,3
8,"('2c9bfc22c7a5701bed45949d55208fe2228e0dd3', 'f945da3f9f7352c04cfba4b9b3f30199ea816dea', '06dfb1f95607fbfc86453bc1d9e8f1d9abe9de5c')",1,3
9,"('35f56238ece0abe440b004ec7136027242e774fd',)",12,1
10,"('35f56238ece0abe440b004ec7136027242e774fd', '098f01bdfa5d1d55ec61640e6cb1b19ba49e0af4')",1,2
11,"('35f56238ece0abe440b004ec7136027242e774fd', '7686a20dda1833f105121170f5cb1aa7f9c46fd7')",2,2
12,"('35f56238ece0abe440b004ec7136027242e774fd', '7686a20dda1833f105121170f5cb1aa7f9c46fd7', '7b30443838ece5e7ee6b3c0060dcf43d9cbc3b08')",1,3
13,"('35f56238ece0abe440b004ec7136027242e774fd', 'd9190728b3c213e38e307956bd231808020703f3')",3,2
14,"('5218d8668c0e42db7d47ad12f048f100edb0141d',)",43,1
15,"('6e9d50b72cf5639a164d0120e06f889b5056bef6',)",5,1
16,"('7686a20dda1833f105121170f5cb1aa7f9c46fd7',)",3,1
17,"('7686a20dda1833f105121170f5cb1aa7f9c46fd7', '35f56238ece0abe440b004ec7136027242e774fd', '7b30443838ece5e7ee6b3c0060dcf43d9cbc3b08')",20,3
18,"('7b30443838ece5e7ee6b3c0060dcf43d9cbc3b08',)",1,1
19,"('84c8b239d504e7cfdd80f15c41a570bfdacfbe8b',)",5,1
20,"('86fc94b906e47e847e63940dd68f8aa8690bad9c', '35f56238ece0abe440b004ec7136027242e774fd', '7686a20dda1833f105121170f5cb1aa7f9c46fd7', '7b30443838ece5e7ee6b3c0060dcf43d9cbc3b08', 'ef9f99a06c438dac739fb40bf57172f2e2d7bf88', 'b084bc633285e4a1f622a17f25f1eaee6a665f58', '098f01bdfa5d1d55ec61640e6cb1b19ba49e0af4')",1,7
21,"('d9190728b3c213e38e307956bd231808020703f3',)",26,1
22,"('d9190728b3c213e38e307956bd231808020703f3', '35f56238ece0abe440b004ec7136027242e774fd', '84c8b239d504e7cfdd80f15c41a570bfdacfbe8b', '7686a20dda1833f105121170f5cb1aa7f9c46fd7')",1,4
23,"('d9190728b3c213e38e307956bd231808020703f3', '7686a20dda1833f105121170f5cb1aa7f9c46fd7')",3,2
24,"('d9190728b3c213e38e307956bd231808020703f3', '7b30443838ece5e7ee6b3c0060dcf43d9cbc3b08')",1,2
25,"('da39a3ee5e6b4b0d3255bfef95601890afd80709',)",1,1
26,"('f23f1b4ca52733e332b1af61349998e457ec12a2',)",6,1
27,"('f945da3f9f7352c04cfba4b9b3f30199ea816dea', '06dfb1f95607fbfc86453bc1d9e8f1d9abe9de5c')",1,2
