,workflow,#occ,length
0,"('098f01bdfa5d1d55ec61640e6cb1b19ba49e0af4', 'd9190728b3c213e38e307956bd231808020703f3')",383,2
1,"('2c9bfc22c7a5701bed45949d55208fe2228e0dd3', '5218d8668c0e42db7d47ad12f048f100edb0141d', 'f23f1b4ca52733e332b1af61349998e457ec12a2')",85,3
2,"('2c9bfc22c7a5701bed45949d55208fe2228e0dd3', '5218d8668c0e42db7d47ad12f048f100edb0141d', 'f23f1b4ca52733e332b1af61349998e457ec12a2', '84c8b239d504e7cfdd80f15c41a570bfdacfbe8b')",90,4
3,"('2c9bfc22c7a5701bed45949d55208fe2228e0dd3', '6e9d50b72cf5639a164d0120e06f889b5056bef6')",452,2
4,"('2c9bfc22c7a5701bed45949d55208fe2228e0dd3', '6e9d50b72cf5639a164d0120e06f889b5056bef6', '84c8b239d504e7cfdd80f15c41a570bfdacfbe8b')",113,3
5,"('2c9bfc22c7a5701bed45949d55208fe2228e0dd3', '84c8b239d504e7cfdd80f15c41a570bfdacfbe8b')",112,2
6,"('2c9bfc22c7a5701bed45949d55208fe2228e0dd3', 'f1f19dbcc6921179177669dfbd7e909a700fc435', '84999ea17bfaf3533def73900f02ba85471b4c47', '9da7939eb44967af092c2bd3eec2c3188691d2d8')",39,4
7,"('36c071f7122a7e4509b035cd35f247e481b6c372', 'b0128976be12239515a2cd72aaa3149a0af0200f', '02409a0ab216846173b48ec37f761e65a92ebdb8', 'a2d7aff4a1e8381d7c8e582a0439ede6d13c7856', 'c12f4ad4120036667c85ed44c2273eb5ef9aa6d5')",900,5
8,"('36c071f7122a7e4509b035cd35f247e481b6c372', 'b0128976be12239515a2cd72aaa3149a0af0200f', '02409a0ab216846173b48ec37f761e65a92ebdb8', 'a2d7aff4a1e8381d7c8e582a0439ede6d13c7856', 'c12f4ad4120036667c85ed44c2273eb5ef9aa6d5', '7b30443838ece5e7ee6b3c0060dcf43d9cbc3b08')",38,6
9,"('5218d8668c0e42db7d47ad12f048f100edb0141d', 'f23f1b4ca52733e332b1af61349998e457ec12a2')",680,2
10,"('5218d8668c0e42db7d47ad12f048f100edb0141d', 'f23f1b4ca52733e332b1af61349998e457ec12a2', '2c9bfc22c7a5701bed45949d55208fe2228e0dd3')",131,3
11,"('5218d8668c0e42db7d47ad12f048f100edb0141d', 'f23f1b4ca52733e332b1af61349998e457ec12a2', '2c9bfc22c7a5701bed45949d55208fe2228e0dd3', 'f23f1b4ca52733e332b1af61349998e457ec12a2', '84c8b239d504e7cfdd80f15c41a570bfdacfbe8b')",24,5
12,"('5218d8668c0e42db7d47ad12f048f100edb0141d', 'f23f1b4ca52733e332b1af61349998e457ec12a2', '84c8b239d504e7cfdd80f15c41a570bfdacfbe8b')",9,3
13,"('6e9d50b72cf5639a164d0120e06f889b5056bef6', '5218d8668c0e42db7d47ad12f048f100edb0141d', 'f23f1b4ca52733e332b1af61349998e457ec12a2')",141,3
14,"('6e9d50b72cf5639a164d0120e06f889b5056bef6', '5218d8668c0e42db7d47ad12f048f100edb0141d', 'f23f1b4ca52733e332b1af61349998e457ec12a2', '84c8b239d504e7cfdd80f15c41a570bfdacfbe8b')",2,4
15,"('6e9d50b72cf5639a164d0120e06f889b5056bef6', '84c8b239d504e7cfdd80f15c41a570bfdacfbe8b')",230,2
16,"('6e9d50b72cf5639a164d0120e06f889b5056bef6', '84c8b239d504e7cfdd80f15c41a570bfdacfbe8b', '7686a20dda1833f105121170f5cb1aa7f9c46fd7', '35f56238ece0abe440b004ec7136027242e774fd', '7b30443838ece5e7ee6b3c0060dcf43d9cbc3b08', '86fc94b906e47e847e63940dd68f8aa8690bad9c', 'ef9f99a06c438dac739fb40bf57172f2e2d7bf88', 'b084bc633285e4a1f622a17f25f1eaee6a665f58', '098f01bdfa5d1d55ec61640e6cb1b19ba49e0af4', '2c9bfc22c7a5701bed45949d55208fe2228e0dd3')",6,10
17,"('7686a20dda1833f105121170f5cb1aa7f9c46fd7', '86fc94b906e47e847e63940dd68f8aa8690bad9c', 'ef9f99a06c438dac739fb40bf57172f2e2d7bf88', 'b084bc633285e4a1f622a17f25f1eaee6a665f58')",83,4
18,"('7b30443838ece5e7ee6b3c0060dcf43d9cbc3b08', '2c9bfc22c7a5701bed45949d55208fe2228e0dd3')",55,2
19,"('7b30443838ece5e7ee6b3c0060dcf43d9cbc3b08', '7686a20dda1833f105121170f5cb1aa7f9c46fd7', '86fc94b906e47e847e63940dd68f8aa8690bad9c', 'ef9f99a06c438dac739fb40bf57172f2e2d7bf88', 'b084bc633285e4a1f622a17f25f1eaee6a665f58')",326,5
20,"('7b30443838ece5e7ee6b3c0060dcf43d9cbc3b08', '7686a20dda1833f105121170f5cb1aa7f9c46fd7', '86fc94b906e47e847e63940dd68f8aa8690bad9c', 'ef9f99a06c438dac739fb40bf57172f2e2d7bf88', 'b084bc633285e4a1f622a17f25f1eaee6a665f58', '098f01bdfa5d1d55ec61640e6cb1b19ba49e0af4')",247,6
21,"('84c8b239d504e7cfdd80f15c41a570bfdacfbe8b', 'd9190728b3c213e38e307956bd231808020703f3', '35f56238ece0abe440b004ec7136027242e774fd')",18,3
22,"('84c8b239d504e7cfdd80f15c41a570bfdacfbe8b', 'd9190728b3c213e38e307956bd231808020703f3', '35f56238ece0abe440b004ec7136027242e774fd', '7686a20dda1833f105121170f5cb1aa7f9c46fd7', '7b30443838ece5e7ee6b3c0060dcf43d9cbc3b08', '86fc94b906e47e847e63940dd68f8aa8690bad9c', 'ef9f99a06c438dac739fb40bf57172f2e2d7bf88', 'b084bc633285e4a1f622a17f25f1eaee6a665f58', '098f01bdfa5d1d55ec61640e6cb1b19ba49e0af4', 'f1f19dbcc6921179177669dfbd7e909a700fc435', '84999ea17bfaf3533def73900f02ba85471b4c47', '9da7939eb44967af092c2bd3eec2c3188691d2d8')",286,12
23,"('84c8b239d504e7cfdd80f15c41a570bfdacfbe8b', 'f1f19dbcc6921179177669dfbd7e909a700fc435', '84999ea17bfaf3533def73900f02ba85471b4c47', '9da7939eb44967af092c2bd3eec2c3188691d2d8', '35f56238ece0abe440b004ec7136027242e774fd')",327,5
24,"('86fc94b906e47e847e63940dd68f8aa8690bad9c', 'ef9f99a06c438dac739fb40bf57172f2e2d7bf88', 'b084bc633285e4a1f622a17f25f1eaee6a665f58')",33,3
